CLUSTER	TAXA
102	s550_CH_10_1998.42
258	s4269_CH_10_2010.64
204	s717_CH_10_1998.87
296	s1495_CH_10_2004.19
296	s2049_CH_20_1997.71
207	s2181_CH_20_1997.36
102	s278_CH_10_1996.07
258	s1379_CH_10_2002.65
236	s1849_CH_10_2010.4
174	s2525_CH_30_2002.92
148	s1585_CH_10_2007.23
258	s1343_CH_10_2000.87
353	s4321_CH_10_2012.19
244	s1306_CH_10_2005.03
296	s1167_CH_10_2009.16
31	s222_CH_10_1997.79
228	s2151_CH_20_1997.25
258	s1771_CH_10_2007.62
296	s730_CH_10_2002.02
148	s973_CH_10_2006.62
296	s2208_CH_20_2000.09
23	s2602_CH_30_1998.3
70	s2475_CH_30_1995.1
258	s703_CH_10_1999.84
64	s2558_CH_30_1996.86
244	s1768_CH_10_2009.36
258	s775_CH_10_2004.07
53	s342_CH_10_1996.56
135	s860_CH_10_2002.3
135	s366_CH_10_1996.22
174	s2055_CH_20_1997.27
296	s2174_CH_20_1997.27
20	s538_CH_10_1996.83
236	s1502_CH_10_2004.67
124	s459_CH_10_1996.63
20	s68_CH_10_1995.72
164	s379_CH_10_1996.44
156	s38_CH_10_1996.81
236	s2386_CH_20_2007.21
98	s544_CH_10_1997.21
53	s1227_CH_10_1998.65
244	s1713_CH_10_2008.37
156	s2566_CH_30_2003.09
236	s1843_CH_10_2010.19
98	s359_CH_10_1996.89
246	s711_CH_10_2000.43
243	s4328_CH_10_2011.78
244	s1970_CH_10_2011.51
154	s551_CH_10_1997.61
236	s2261_CH_20_2004.61
26	s2574_CH_30_1998.72
20	s17_CH_10_1995.83
156	s749_CH_10_1997.92
301	s2718_CH_30_2007.42
354	s893_CH_10_2004.31
354	s1311_CH_10_2005.38
154	s1505_CH_10_2004.87
243	s1461_CH_10_2003.95
124	s335_CH_10_1995.53
154	s474_CH_10_1995.6
236	s1023_CH_10_2006.68
354	s1547_CH_10_2005.84
353	s1870_CH_10_2009.97
236	s4360_CH_10_2009.82
236	s1160_CH_10_2009.76
124	s1773_CH_10_2009.03
154	s408_CH_10_1995.68
164	s665_CH_10_1999.01
164	s1486_CH_10_2004.11
236	s1736_CH_10_2008.69
174	s617_CH_10_1997.46
296	s430_CH_10_1995.95
354	s1052_CH_10_2007.93
353	s358_CH_10_2005.58
70	s2567_CH_30_1996.28
64	s2499_CH_30_1999.27
236	s1556_CH_10_2006.34
26	s2179_CH_20_2003.32
236	s1651_CH_10_2007.84
53	s2481_CH_30_1996.16
244	s1027_CH_10_2006.81
246	s479_CH_10_1995.92
211	s2047_CH_20_1995.96
246	s1292_CH_10_2006.1
354	s1122_CH_10_2007.9
321	s2101_CH_20_1997.04
154	s1253_CH_10_1999.8
320	s2056_CH_20_1998.42
296	s728_CH_10_2000.08
320	s2194_CH_20_1999.41
96	s444_CH_10_1996.12
354	s1470_CH_10_2004.32
96	s1441_CH_10_2002.57
31	s394_CH_10_1995.51
301	s2690_CH_30_2005.66
246	s832_CH_10_2006.75
164	s968_CH_10_2007.1
236	s1133_CH_10_2010.45
354	s1569_CH_10_2005.57
236	s1155_CH_10_2009.65
98	s426_CH_10_1996.21
174	s2579_CH_30_1998.38
211	s2456_CH_30_1996.17
353	s4320_CH_10_2012.16
236	s1543_CH_10_2005.79
102	s2477_CH_30_1995.21
154	s1404_CH_10_2002.35
258	s1321_CH_10_2001.2
243	s1597_CH_10_2007.46
156	s297_CH_10_1995.79
354	s758_CH_10_2006.07
167	s463_CH_10_1995.9
23	s2590_CH_30_1997.95
353	s1755_CH_10_2008.94
321	s2080_CH_20_1996.24
207	s2096_CH_20_1999.32
204	s3_CH_10_1995.78
167	s244_CH_10_1996.64
244	s1793_CH_10_2009.33
296	s2159_CH_20_1996.85
174	s2197_CH_20_1999.52
154	s1254_CH_10_1999.82
228	s2136_CH_20_1995.61
124	s1728_CH_10_2008.58
353	s1791_CH_10_2008.88
98	s110_CH_10_1997.59
246	s2291_CH_20_2005.37
20	s734_CH_10_1997.26
31	s316_CH_10_1995.61
